"日期","收市","開市","高","低","成交量","更改%"
"2021年10月1日","21.99","23.00","24.05","21.30","111.76K","-3.82%"
"2021年9月30日","22.87","22.70","23.45","21.63","108.20K","-0.54%"
"2021年9月29日","22.99","22.80","23.16","21.70","100.08K","2.10%"
"2021年9月28日","22.52","20.35","23.15","20.00","193.66K","11.98%"
"2021年9月27日","20.11","19.75","20.40","19.30","66.31K","1.46%"
"2021年9月24日","19.82","20.60","21.36","19.75","81.93K","-3.79%"
"2021年9月23日","20.60","21.96","22.05","20.45","100.65K","-6.79%"
"2021年9月22日","22.10","23.90","24.48","21.64","116.24K","-5.68%"
"2021年9月21日","23.43","24.70","25.03","23.10","141.55K","-4.22%"
"2021年9月20日","24.46","22.15","26.75","21.98","-","11.51%"
"2021年9月17日","21.94","20.69","22.35","20.39","103.02K","6.72%"
"2021年9月16日","20.56","20.80","21.41","20.34","68.49K","3.87%"
"2021年9月15日","19.79","19.50","19.83","18.95","1.05K","0.38%"
"2021年9月14日","19.72","19.30","20.40","18.65","62.00K","2.16%"
"2021年9月13日","19.30","20.40","20.80","19.05","77.78K","-6.43%"
"2021年9月10日","20.62","19.50","20.71","18.10","92.67K","6.47%"
"2021年9月9日","19.37","19.10","20.10","18.33","85.18K","3.23%"
"2021年9月8日","18.77","18.90","20.15","18.70","80.28K","-0.35%"
"2021年9月7日","18.83","18.30","19.30","17.90","68.70K","4.04%"
"2021年9月6日","18.10","18.45","18.58","17.92","-","-1.74%"
"2021年9月5日","18.42","18.28","18.48","18.25","-","0.37%"
"2021年9月3日","18.35","18.05","18.65","17.85","63.46K","2.17%"
"2021年9月2日","17.96","18.10","18.45","17.75","49.58K","-0.65%"
"2021年9月1日","18.08","18.50","18.76","17.90","55.00K","-2.90%"
"2021年8月31日","18.62","18.70","19.10","18.43","48.40K","-0.67%"
"2021年8月30日","18.75","19.10","19.20","18.65","49.95K","-1.09%"
"2021年8月27日","18.95","20.15","20.40","18.80","65.21K","-5.81%"
"2021年8月26日","20.12","19.30","20.45","19.25","92.26K","4.63%"
"2021年8月25日","19.23","19.65","19.90","19.15","41.15K","-2.52%"
"2021年8月24日","19.73","19.70","19.90","19.50","43.65K","-0.59%"
"2021年8月23日","19.85","20.60","20.60","19.45","69.77K","-3.32%"
"2021年8月20日","20.53","22.20","23.10","20.35","102.61K","-8.14%"
"2021年8月19日","22.35","21.65","23.20","21.30","172.21K","20.27%"
"2021年8月18日","18.58","18.00","18.40","17.35","0.64K","5.70%"
"2021年8月17日","17.58","16.65","19.35","16.50","65.48K","6.51%"
"2021年8月16日","16.50","16.65","17.95","16.45","47.47K","-0.76%"
"2021年8月13日","16.63","16.88","17.05","16.50","40.42K","-2.19%"
"2021年8月12日","17.00","17.65","17.80","16.78","44.04K","-2.53%"
"2021年8月11日","17.44","18.05","18.30","17.35","53.59K","-2.97%"
"2021年8月10日","17.98","18.40","18.60","17.80","46.72K","-2.42%"
"2021年8月9日","18.42","18.80","19.35","18.25","51.90K","-1.49%"
"2021年8月6日","18.70","19.40","19.50","18.65","51.94K","-3.16%"
"2021年8月5日","19.31","19.90","19.95","19.25","35.05K","-2.70%"
"2021年8月4日","19.85","20.00","20.46","19.60","44.34K","0.00%"
"2021年8月3日","19.85","21.10","21.45","19.80","75.34K","-6.13%"
"2021年8月2日","21.15","20.45","21.30","19.55","68.49K","4.32%"
